1002 9.8783259806e-02 6.7257041601e-03 4.5741568426e-02
2004 2.0249991738e-02 1.1790678911e-03 1.3375902640e-02
3006 4.0573139454e-03 5.8298311184e-04 2.4581842726e-03
4008 2.1180581781e-03 3.9325416237e-04 1.5222670691e-03
5010 1.4105931775e-03 2.6757083613e-04 1.0325135883e-03
6012 9.5806833086e-04 1.8192726252e-04 7.0260227304e-04
7014 6.5120884206e-04 1.2362380121e-04 4.7772532610e-04
8016 4.4252512582e-04 8.3982312862e-05 3.2466796811e-04
9018 3.0065424835e-04 5.7044846010e-05 2.2059000067e-04
10020 2.0423873510e-04 3.8744947298e-05 1.4985254469e-04
11022 1.3872988053e-04 2.6314597477e-05 1.0178875166e-04
12024 9.4227110324e-05 1.7871788214e-05 6.9136556659e-05
13026 1.0203698494e-04 1.2996918125e-05 8.3386574838e-05
14028 3.3220486510e-04 1.9301223125e-05 2.8937963815e-04
15030 3.6102340347e-05 5.7577477011e-06 2.6835374030e-05
16032 2.0158156867e-05 3.6456416674e-06 1.4812897292e-05
17034 1.2827818788e-05 2.3322480323e-06 9.4233141080e-06
18036 8.2061174577e-06 1.4924603417e-06 6.0279325834e-06
19038 5.2514941378e-06 9.5509165535e-07 3.8575600734e-06
20040 3.3607042183e-06 6.1120886940e-07 2.4686508009e-06
21042 2.1506877952e-06 3.9114275131e-07 1.5798163071e-06
22044 1.3763353418e-06 2.5031184854e-07 1.0110053457e-06
23046 9.9988610002e-07 3.0541639920e-07 5.6236549599e-07
